viewDate,areaMunKm,areaUcKm,uc,uf,municipio
7/12/2020,0.07,0,,PA,Jacareacanga
9/14/2020,0.06,0.06,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/10/2020,0.08,0,,MT,Peixoto de Azevedo
7/9/2020,0.09,0.09,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/9/2020,0.08,0,,MT,Rondolandia
7/8/2020,0.08,0,,AM,Jutai
7/8/2020,0.07,0,,AM,Jutai
7/7/2020,0.07,0,,PA,Sao Felix do Xingu
7/7/2020,0.11,0,,MT,Novo Mundo
7/6/2020,0.1,0,,MT,Nova Bandeirantes
3/26/2020,0.07,0,,MA,Sao Luis
9/14/2020,0.06,0,,PA,Ourilandia do Norte
9/14/2020,0.07,0,,PA,Ourilandia do Norte
3/23/2020,0.18,0,,AM,Jutai
3/23/2020,0.11,0,,AM,Jutai
3/23/2020,0.1,0,,AM,Jutai
3/23/2020,0.08,0,,AM,Jutai
6/30/2020,0.02,0,,PA,Tucuma
6/30/2020,0.06,0,,PA,Ourilandia do Norte
6/30/2020,0.08,0,,PA,Ourilandia do Norte
6/30/2020,0.07,0,,PA,Ourilandia do Norte
6/30/2020,0.11,0,,PA,Cumaru do Norte
6/30/2020,0.01,0,,PA,Novo Progresso
6/30/2020,0.05,0,,PA,Itaituba
9/14/2020,0.1,0,,MT,Novo Mundo
6/30/2020,0.06,0,,PA,Novo Progresso
6/30/2020,0.02,0,,PA,Itaituba
6/30/2020,0,0,,PA,Itaituba
6/30/2020,0.08,0,,MT,Nova Guarita
2/15/2020,0.1,0,,RR,Amajari
2/15/2020,0.06,0,,RR,Amajari
2/15/2020,0.19,0,,RR,Amajari
6/25/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/25/2020,0.09,0.09,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/25/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/25/2020,0.14,0,,PA,Itaituba
6/25/2020,0,0,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/25/2020,0.07,0,,PA,Itaituba
6/25/2020,0.14,0,,PA,Itaituba
6/25/2020,0.08,0,,PA,Jacareacanga
6/25/2020,0.1,0,,PA,Itaituba
6/25/2020,0.08,0,,PA,Itaituba
6/25/2020,0.13,0,,PA,Itaituba
6/25/2020,0.08,0,,PA,Jacareacanga
6/25/2020,0.08,0,,PA,Jacareacanga
6/25/2020,0,0,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/25/2020,0.07,0,,PA,Jacareacanga
6/25/2020,0.02,0,,PA,Itaituba
6/25/2020,0.09,0,,PA,Jacareacanga
6/24/2020,0.12,0,,PA,Cumaru do Norte
6/24/2020,0.07,0,,PA,Ourilandia do Norte
6/24/2020,0.08,0,,PA,Cumaru do Norte
6/24/2020,0.06,0,,PA,Cumaru do Norte
6/24/2020,0.07,0,,PA,Cumaru do Norte
6/24/2020,0.09,0,,PA,Ourilandia do Norte
6/24/2020,0.07,0,,PA,Ourilandia do Norte
6/23/2020,0.11,0,,AM,Jutai
6/23/2020,0.06,0,,AM,Jutai
6/23/2020,0.19,0,,AM,Jutai
1/24/2020,0.19,0.19,FLORESTA NACIONAL DE SARACÁ-TAQUERA,PA,Oriximina
6/19/2020,0.05,0,,PA,Sao Felix do Xingu
6/20/2020,0.11,0.11,FLORESTA NACIONAL DE CARAJÁS,PA,Parauapebas
6/20/2020,0.16,0.16,FLORESTA NACIONAL DE CARAJÁS,PA,Parauapebas
6/19/2020,0.15,0,,PA,Itaituba
6/19/2020,0.06,0,,PA,Itaituba
6/19/2020,0.07,0,,PA,Itaituba
6/19/2020,0.07,0.07,FLORESTA NACIONAL DO AMANA,PA,Itaituba
6/19/2020,0.09,0,,PA,Itaituba
9/18/2020,0.08,0,,AM,Japura
6/19/2020,0.06,0,,PA,Itaituba
9/18/2020,0.12,0,,AM,Jutai
9/18/2020,0.06,0,,AM,Jutai
9/18/2020,0.16,0,,AM,Japura
9/18/2020,0.15,0,,AM,Japura
9/18/2020,0.12,0,,AM,Japura
9/18/2020,0.15,0,,AM,Japura
6/19/2020,0.06,0,,PA,Jacareacanga
9/20/2020,0.07,0,,MT,Novo Mundo
6/19/2020,0.13,0,,PA,Jacareacanga
6/17/2020,0.07,0,,PA,Cumaru do Norte
6/16/2020,0.07,0,,PA,Jacareacanga
6/16/2020,0.03,0.03,FLORESTA NACIONAL DO AMANA,AM,Maues
6/16/2020,0,0,,PA,Itaituba
6/16/2020,0.07,0,,PA,Jacareacanga
6/16/2020,0.12,0,,PA,Itaituba
6/16/2020,0.09,0,,PA,Altamira
6/16/2020,0.16,0,,PA,Altamira
6/16/2020,0.17,0,,PA,Altamira
6/16/2020,0.08,0,,PA,Altamira
6/16/2020,0.1,0,,PA,Altamira
6/16/2020,0.07,0,,PA,Altamira
6/16/2020,0.09,0,,PA,Altamira
6/16/2020,0.06,0,,PA,Altamira
6/16/2020,0.2,0,,PA,Altamira
6/16/2020,0.07,0,,PA,Altamira
6/16/2020,0.12,0,,PA,Altamira
6/16/2020,0.08,0,,PA,Itaituba
6/16/2020,0.06,0,,MT,Peixoto de Azevedo
6/16/2020,0.08,0,,MT,Peixoto de Azevedo
6/16/2020,0.07,0,,MT,Peixoto de Azevedo
6/16/2020,0.2,0,,MT,Terra Nova do Norte
6/16/2020,0.07,0,,MT,Terra Nova do Norte
6/16/2020,0.14,0,,PA,Itaituba
6/16/2020,0.07,0,,MT,Apiacas
9/24/2020,0.11,0,,RR,Alto Alegre
9/24/2020,0.17,0,,RR,Amajari
6/16/2020,0.07,0,,MT,Apiacas
6/16/2020,0.09,0,,MT,Apiacas
9/24/2020,0.24,0,,RR,Amajari
6/16/2020,0.06,0,,PA,Jacareacanga
6/16/2020,0.06,0,,PA,Jacareacanga
6/16/2020,0.16,0,,PA,Jacareacanga
6/16/2020,0.08,0,,PA,Jacareacanga
6/16/2020,0.1,0,,PA,Jacareacanga
6/14/2020,0.07,0,,PA,Cumaru do Norte
8/10/2020,0.11,0,,PA,Juruti
8/10/2020,0.13,0,,PA,Itaituba
6/14/2020,0.11,0,,PA,Maraba
9/28/2020,0.06,0,,PA,Jacareacanga
9/28/2020,0.07,0,,PA,Jacareacanga
9/28/2020,0.06,0,,PA,Jacareacanga
6/14/2020,0.07,0,,PA,Maraba
6/14/2020,0.08,0,,PA,Sao Felix do Xingu
6/13/2020,0.07,0,,PA,Juruti
9/28/2020,0.08,0,,PA,Jacareacanga
6/13/2020,0.08,0,,PA,Itaituba
6/13/2020,0.07,0,,PA,Altamira
6/13/2020,0.12,0,,PA,Jacareacanga
6/13/2020,0.08,0,,PA,Jacareacanga
8/22/2020,0.06,0.06,FLORESTA NACIONAL DE ALTAMIRA,PA,Altamira
9/28/2020,0.08,0.08,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
9/28/2020,0.02,0,,PA,Itaituba
9/28/2020,0.08,0,,PA,Itaituba
9/28/2020,0.05,0.05,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
9/28/2020,0.08,0.08,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
6/10/2020,0.1,0.1,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Jacareacanga
6/10/2020,0.11,0,,PA,Itaituba
6/10/2020,0.07,0,,PA,Itaituba
6/10/2020,0.07,0,,PA,Itaituba
6/10/2020,0.07,0,,PA,Jacareacanga
9/29/2020,0.06,0,,PA,Ourilandia do Norte
9/29/2020,0.09,0,,PA,Cumaru do Norte
6/10/2020,0.11,0,,PA,Itaituba
